Time	Amplitude	
0	0	
2E-8	0.802123	
4E-8	0.95799	
6E-8	0.34202	
8E-8	-0.549509	
1E-7	-0.998308	
1.2E-7	-0.642788	
1.4E-7	0.230616	
1.6E-7	0.918216	
1.8E-7	0.866025	
2E-7	0.116093	
2.2E-7	-0.727374	
2.4E-7	-0.984808	
2.6E-7	-0.448799	
2.8E-7	0.448799	
3E-7	0.984808	
3.2E-7	0.727374	
3.4E-7	-0.116093	
3.6E-7	-0.866025	
3.8E-7	-0.918216	
4E-7	0.230616	
4.2E-7	-0.642788	
4.4E-7	-0.998308	
4.6E-7	-0.549509	
4.8E-7	0.34202	
5E-7	0.95799	
5.2E-7	0.802123	
5.4E-7	-2.28983E-15	
5.6E-7	0.802123	
5.8E-7	0.95799	
6E-7	0.34202	
6.2E-7	-0.549509	
6.4E-7	-0.998308	
6.6E-7	-0.642788	
